"31 Dec â€“ 1 Jan", "New Years Day"
"6 Jan", "Christmas"
"20 Feb", "Artsakh Revival Day"
"8 March", "Women's Day"
"7 April", "Motherhood and Beauty Day"
"24 April", "Genocide Memorial Day"
"1 May", "Worker's Solidarity Day"
"9 May", "Victory, Armed Forces & Shushi Liberation Day"
"28 May", "First Armenian Republic Day"
"1 June", "Children's Day"
"29 June", "Fallen Soldiers' and Missing in Action Memorial Day"
"2 September", "Independence Day"
"7 December", "Armenian Earthquake Memorial Day"
"10 December", "Independence Referendum Day Constitution Day"
