"Abeler, Jim", "48B", "Anoka", "Rep"
"Anderson, Bruce", "19A", "Buffalo Township", "Rep"
"Abrams, Ron", "43B", "Minnetonka", "Rep"
"Anderson, Irv", "03A", "International Falls", "DFL"
"Atkins, Joe", "39B", "Inver Grove Heights", "DFL"
"Beard, Michael", "35A", "Shakopee", "Rep"
"Bernardy, Connie", "51B", "Fridley", "DFL"
"Blaine, Greg", "12B", "Little Falls", "Rep"
"Bradley, Fran", "29B", "Rochester", "Rep"
"Brod, Laura", "25A", "New Prague", "Rep"
"Buesgens, Mark", "35B", "Jordan", "Rep"
"Carlson, Lyndon", "45B", "Crystal", "DFL"
"Charron, Mike", "56A", "Woodbury", "Rep"
"Clark, Karen", "61A", "Minneapolis", "DFL"
"Cornish, Tony", "24B", "Good Thunder", "Rep"
"Cox, Ray", "25B", "Northfield", "Rep"
"Cybart, Lloyd", "37A", "Apple Valley", "Rep"
"Davids, Gregory", "31B", "Preston", "Rep"
"Davnie, Jim", "62A", "Minneapolis", "DFL"
"Dean, Matt", "52B", "Dellwood", "Rep"
"DeLaForest, Chris", "49A", "Andover", "Rep"
"Demmer, Randy", "29A", "Hayfield", "Rep"
"Dempsey, Jerry", "28A", "Hastings", "Rep"
"Dill, David", "06A", "Crane Lake Township", "DFL"
"Dittrich, Denise", "47A", "Champlin", "DFL"
"Dorman, Dan", "27A", "Albert Lea", "Rep"
"Dorn, John", "23B", "Mankato", "DFL"
"Eastlund, Rob", "17A", "Isanti", "Rep"
"Eken, Kent", "02A", "Twin Valley", "DFL"
"Ellison, Keith", "58B", "Minneapolis", "DFL"
"Emmer, Tom", "19B", "Delano", "Rep"
"Matt Entenza", "64A", "St. Paul", "DFL"
"Erhardt, Ron", "41A", "Edina", "Rep"
"Erickson, Sondra", "16A", "Princeton", "Rep"
"Finstad, Brad", "21B", "Comfrey", "Rep"
"Fritz, Patti", "26B", "Faribault", "DFL"
"Garofalo, Pat", "36B", "Farmington", "Rep"
"Gazelka, Paul", "12A", "Brainerd", "Rep"
"Goodwin, Barbara", "50A", "Columbia Heights", "DFL"
"Greiling, Mindy", "54A", "Roseville", "DFL"
"Gunther, Bob", "24A", "Fairmont", "Rep"
"Hackbarth, Tom", "48A", "Cedar", "Rep"
"Hamilton, Rod", "22B", "Mountain Lake", "Rep"
"Hansen, Rick", "39A", "South St. Paul", "DFL"
"Hausman, Alice", "66B", "St. Paul", "DFL"
"Haws, Larry", "15B", "St. Cloud", "DFL"
"Heidgerken, Bud", "13A", "Freeport", "Rep"
"Hilstrom, Debra", "46B", "Brooklyn Center", "DFL"
"Hilty, Bill", "08A", "Finlayson", "DFL"
"Holberg, Mary Liz", "36A", "Lakeville", "Rep"
"Hoppe, Joe", "34B", "Chaska", "Rep"
"Hornstein, Frank", "60B", "Minneapolis", "DFL"
"Hortman, Melissa", "47B", "Brooklyn Park", "DFL"
"Hosch, Larry", "14B", "St. Joseph", "DFL"
"Howes, Larry", "04B", "Walker", "Rep"
"Huntley, Thomas", "07A", "Duluth", "DFL"
"Jaros, Mike", "07B", "Duluth", "DFL"
"Johnson, Jeff", "43A", "Plymouth", "Rep"
"Johnson, Ruth", "23A", "St. Peter", "DFL"
"Johnson, Sheldon", "67B", "St. Paul", "DFL"
"Juhnke, Al", "13B", "Willmar", "DFL"
"Kahn, Phyllis", "59B", "Minneapolis", "DFL"
"Kelliher, Margaret Anderson", "60A", "Minneapolis", "DFL"
"Klinzing, Karen", "56B", "Woodbury", "Rep"
"Knoblach, Jim", "15A", "St. Cloud", "Rep"
"Koenen, Lyle", "20B", "Clara City", "DFL"
"Kohls, Paul", "34A", "Victoria", "Rep"
"Krinkie, Philip", "53A", "Shoreview", "Rep"
"Lanning, Morrie", "09A", "Moorhead", "Rep"
"Larson, Dan", "63B", "Bloomington", "DFL"
"Latz, Ron", "44B", "St. Louis Park", "DFL"
"Lenczewski, Ann", "40B", "Bloomington", "DFL"
"Lesch, John", "66A", "St. Paul", "DFL"
"Liebling, Tina", "30A", "Rochester", "DFL"
"Lieder, Bernard", "01B", "Crookston", "DFL"
"Lillie, Leon", "55A", "North St. Paul", "DFL"
"Loeffler, Diane", "59A", "Minneapolis", "DFL"
"Magnus, Doug", "22A", "Slayton", "Rep"
"Mahoney, Tim", "67A", "St. Paul", "DFL"
"Mariani, Carlos", "65B", "St. Paul", "DFL"
"Marquart, Paul", "09B", "Dilworth", "DFL"
"McNamara, Denny", "57B", "Hastings", "Rep"
"Meslow, Doug", "53B", "White Bear Lake", "Rep"
"Moe, Frank", "04A", "Bemidji", "DFL"
"Mullery, Joe", "58A", "Minneapolis", "DFL"
"Murphy, Mary", "06B", "Hermantown", "DFL"
"Nelson, Michael", "46A", "Brooklyn Park", "DFL"
"Nelson, Peter", "17B", "Lindstrom", "Rep"
"Newman, Scott", "18A", "Hutchinson", "Rep"
"Nornes, Bud", "10A", "Fergus Falls", "DFL"
"Olson, Mark", "16B", "Big Lake", "Rep"
"Otremba, Mary Ellen", "11B", "Long Prairie", "DFL"
"Ozment, Dennis", "37B", "Rosemount", "Rep"
"Paulsen, Erik", "42B", "Eden Prairie", "Rep"
"Paymar, Michael", "64B", "St. Paul", "DFL"
"Pelowski, Gene", "31A", "Winona", "DFL"
"Penas, Maxine", "01A", "Badger", "Rep"
"Peppin, Joyce", "32A", "Rogers", "Rep"
"Peterson, Aaron", "20A", "Appleton", "DFL"
"Peterson, Neil W.", "41B", "Bloomington", "Rep"
"Peterson, Sandra", "45A", "New Hope", "DFL"
"Poppe, Jeanne", "27B", "Austin", "DFL"
"Powell, Duke", "40A", "Burnsville", "Rep"
"Rukavina, Tom", "05A", "Virginia", "DFL"
"Ruth, Connie", "26A", "Owatonna", "Rep"
"Ruud, Maria", "42A", "Minnetonka", "DFL"
"Sailer, Brita", "02B", "Park Rapids", "DFL"
"Samuelson, Char", "50B", "New Brighton", "Rep"
"Scalze, Bev", "54B", "Little Canada", "DFL"
"Seifert, Marty", "21A", "Marshall", "Rep"
"Sertich, Tony", "05B", "Chisholm", "DFL"
"Severson, Dan", "14A", "Sauk Rapids", "Rep"
"Sieben, Katie", "57A", "Newport", "DFL"
"Simon, Steve", "44A", "St. Louis Park", "DFL"
"Simpson, Dean", "10B", "Perham", "Rep"
"Slawik, Nora", "55B", "Maplewood", "Rep"
"Smith, Steve", "33A", "Mound", "Rep"
"Soderstrom, Judy", "08B", "Mora", "Rep"
"Solberg, Loren", "03B", "Grand Rapids", "DFL"
"Sviggum, Steve", "28B", "Kenyon", "Rep"
"Sykora, Barb", "33B", "Excelsior", "Rep"
"Thao, Cy", "65A", "St. Paul", "DFL"
"Thissen, Paul", "63A", "Minneapolis", "DFL"
"Tingelstad, Kathy", "49B", "Andover", "Rep"
"Urdahl, Dean", "18B", "Grove City", "Rep"
"Vandeveer, Ray", "52A", "Forest Lake", "Rep"
"Wagenius, Jean", "62B", "Minneapolis", "DFL"
"Walker, Neva", "61B", "Minneapolis", "DFL"
"Wardlow, Lynn", "38B", "Eagan", "Rep"
"Welti, Andy", "30B", "Plainview", "DFL"
"Westerberg, Andy", "51A", "Blaine", "Rep"
"Westrom, Torrey", "11A", "Elbow Lake", "Rep"
"Wilkin, Tim", "38A", "Eagan", "Rep"
"Zellers, Kurt", "32B", "Maple Grove", "Rep"
