"S. Amour", "ALP", "New South Wales"
"K. Anderson", "Liberal Party", "New South Wales"
"H. John Armstrong", "ALP", "New South Wales"
"J. Arnold", "ALP", "New South Wales"
"A. Benn", "ALP", "Queensland"
"B. Aylett", "ALP", "Tasmania"
"G. Branson", "Liberal Party", "Western Australia"
"H. Gordon Brown", "ALP", "Queensland"
"N. Buttfield", "Liberal Party", "South Australia"
"H. D. Cameron", "ALP", "Victoria"
"H. Cant", "ALP", "Western Australia"
"G. Cole", "DLP", "Tasmania"
"J. Cooke", "ALP", "Western Australia"
"H. Walter Cooper", "Country", "Queensland"
"H. B. Courtice", "ALP", "Queensland"
"G. Davidson", "Liberal Party", "South Australia"
"F. Dittmer", "ALP", "Queensland"
"T. Drake-Brockman", "Country", "Western Australia"
"A. Drury", "ALP", "South Australia"
"H. J. Gorton", "Liberal Party", "Victoria"
"C. Hannaford", "Liberal Party", "South Australia"
"G. Hannan", "Liberal Party", "Victoria"