"Arcadia Victory", "United States", "Los Angeles", "Victory"
"Benjamin Warner", "United States", "Richmond, California", "Liberty"
"Floyd W. Spencer", "United States", "New Orleans", "Liberty"
"Joseph B. Eastman", "United States", "Baltimore", "Liberty"
"Bremerton", "United States", "Camden, New Jersey", "Baltimore-class"
"F. Southall Farrar", "United States", "Brunswick, Georgia", "Liberty"
"Latimer", "United States", "Portland", "Haskell-class attack transport"
"Olmstead", "United States", "Vancouver, Washington", "Haskell-class attack transport"
"Alcee Fortier", "United States", "New Orleans", "Liberty"
"B. Charney Vladeck", "United States", "South Portland, Maine", "Liberty"
"Honduras Victory", "United States", "Richmond, California", "Victory"
"Empire Crest", "United Kingdom", "Sunderland, Co Durham", "Tanker"
"Clovis Victory", "United States", "Los Angeles", "Victory"
"Diligence", "United States", "Baltimore", "Liberty"
"Laura Drake Gill", "United States", "Houston, Texas", "Liberty"
"Milton B. Medary", "United States", "New Orleans", "Liberty"
"Walter Kidde", "United States", "Baltimore", "Liberty"
"Sherburne", "United States", "Richmond, California", "Haskell-class attack transport"
"George R. Holmes", "United States", "Baltimore", "Liberty"
"Stephen Leacock", "United States", "Savannah, Georgia", "Liberty"