"One Love", "David Guetta", "Positiva / Virgin"
"Want", "3OH!3", "Photo Finish"
"Running Trax", "Various artists", "Ministry of Sound"
"Funky House Classics", "Various artists", "Ministry of Sound"
"One Life Stand", "Hot Chip", "Parlophone"
"Heligoland", "Massive Attack", "Virgin"
"Push It – Classic Party & Dance Tracks", "Various artists", "UMTV"
"Black Light", "Groove Armada", "Cooking Vinyl"
"Plastic Beach", "Gorillaz", "Parlophone"
"Euphoria – A Decade of Trance Albums", "Various artists", "Ministry of Sound"
"Floorfillers – 90s Club Classics", "Various artists", "UMTV"
"Clubland Smashed", "Various artists", "UMTV"
"100 Chillout Classics", "Various artists", "Rhino"
"Where Did the Night Fall", "Unkle", "Surrender All"
"The Dance", "Faithless", "Nate's Tunes"
"Chilled Acoustic", "Various artists", "Ministry of Sound"
"Won't Go Quietly", "Example", "Data"
"Clubland 17", "Various artists", "AATW /UMTV"
"Club Anthems 2010", "Various artists", "EMI"
"Gatecrasher Anthems – Paul van Dyk", "Various artists", "Rhino"